"date","layer.name","layer.depth_m","layer.temp_c"
1981-02-15,"cline_bottom",62.5,4.161
1981-02-15,"bottom",148.5,4.2805
1981-02-16,"surface",0,3.926
1981-02-16,"cline_top",2.5,3.958
1981-02-16,"cline_bottom",72.5,4.18
1981-02-16,"bottom",148.5,4.2785
1981-02-17,"surface",0,3.889
1981-02-17,"cline_top",2.5,3.923
1981-02-17,"cline_bottom",70.5,4.165
1981-02-17,"bottom",148.5,4.2765
1981-02-18,"surface",0,3.821
1981-02-18,"cline_top",2.5,3.8515
1981-02-18,"cline_bottom",72.5,4.1635
1981-02-18,"bottom",148.5,4.2745
1981-02-19,"surface",0,3.746
1981-02-19,"cline_top",2.5,3.785
1981-02-19,"cline_bottom",70.5,4.149
1981-02-19,"bottom",148.5,4.2725
1981-02-20,"surface",0,3.66
1981-02-20,"cline_top",3.5,3.71
1981-02-20,"cline_bottom",66.5,4.129
1981-02-20,"bottom",148.5,4.2705
1981-02-21,"surface",0,3.678
1981-02-21,"cline_top",2.5,3.706
1981-02-21,"cline_bottom",72.5,4.152
1981-02-21,"bottom",148.5,4.2675
1981-02-22,"surface",0,3.715
1981-02-22,"cline_top",1.5,3.732
1981-02-22,"cline_bottom",77.5,4.1605
1981-02-22,"bottom",148.5,4.2655
1981-02-23,"surface",0,3.689
1981-02-23,"cline_top",1.5,3.7115
1981-02-23,"cline_bottom",76.5,4.1495
1981-02-23,"bottom",148.5,4.2625
1981-02-24,"surface",0,3.663
1981-02-24,"cline_top",1.5,3.682
1981-02-24,"cline_bottom",74.5,4.1365
1981-02-24,"bottom",148.5,4.26
1981-02-25,"surface",0,3.622
1981-02-25,"cline_top",2.5,3.662
1981-02-25,"cline_bottom",70.5,4.114
1981-02-25,"bottom",148.5,4.257
1981-02-26,"surface",0,3.613
1981-02-26,"cline_top",2.5,3.643
1981-02-26,"cline_bottom",73.5,4.122
1981-02-26,"bottom",148.5,4.2535
1981-02-27,"surface",0,3.607
1981-02-27,"cline_top",1.5,3.631
1981-02-27,"cline_bottom",74.5,4.12
1981-02-27,"bottom",148.5,4.25
1981-02-28,"surface",0,3.56
1981-02-28,"cline_top",2.5,3.612
1981-02-28,"cline_bottom",72.5,4.1005
1981-02-28,"bottom",148.5,4.2465
1981-03-01,"surface",0,3.614
1981-03-01,"cline_top",2.5,3.632
1981-03-01,"cline_bottom",78.5,4.1255
1981-03-01,"bottom",148.5,4.243
1981-03-02,"surface",0,3.711
1981-03-02,"cline_top",2.5,3.723
1981-03-02,"cline_bottom",94.5,4.158
1981-03-02,"bottom",148.5,4.2395
1981-03-03,"surface",0,3.75
1981-03-03,"cline_top",7.5,3.766
1981-03-03,"cline_bottom",99.5,4.1635
1981-03-03,"bottom",148.5,4.2365
1981-03-04,"surface",0,3.733
1981-03-04,"cline_top",1.5,3.7455
1981-03-04,"cline_bottom",82.5,4.114
1981-03-04,"bottom",148.5,4.233
1981-03-05,"surface",0,3.763
1981-03-05,"cline_top",7.5,3.7895
1981-03-05,"cline_bottom",108.5,4.172
1981-03-05,"bottom",148.5,4.23
1981-03-06,"surface",0,3.791
1981-03-06,"cline_top",9.5,3.8235
1981-03-06,"cline_bottom",119.5,4.1865
1981-03-06,"bottom",148.5,4.227
1981-03-07,"surface",0,3.943
1981-03-07,"cline_top",5.5,3.903
1981-03-07,"cline_bottom",31.5,3.87
1981-03-07,"bottom",148.5,4.224
1981-03-08,"surface",0,3.992
1981-03-08,"cline_top",8.5,3.9815
1981-03-08,"cline_bottom",40.5,3.906
1981-03-08,"bottom",148.5,4.221
1981-03-09,"surface",0,4.1
1981-03-09,"cline_top",1.5,4.0885
1981-03-09,"cline_bottom",28.5,3.9355
1981-03-09,"bottom",148.5,4.2185
1981-03-10,"surface",0,4.177
1981-03-10,"cline_top",1.5,4.1705
1981-03-10,"cline_bottom",36.5,3.961
1981-03-10,"bottom",148.5,4.2155
1981-03-11,"surface",0,4.228
1981-03-11,"cline_top",1.5,4.2145
1981-03-11,"cline_bottom",43.5,3.9805
1981-03-11,"bottom",148.5,4.2135
1981-03-12,"surface",0,4.302
1981-03-12,"cline_top",1.5,4.2925
1981-03-12,"cline_bottom",49.5,3.9955
1981-03-12,"bottom",148.5,4.211
1981-03-13,"surface",0,4.259
1981-03-13,"cline_top",1.5,4.256
1981-03-13,"cline_bottom",57.5,4.018
1981-03-13,"bottom",148.5,4.2085
1981-03-14,"surface",0,4.291
1981-03-14,"cline_top",4.5,4.284
1981-03-14,"cline_bottom",64.5,4.043
1981-03-14,"bottom",148.5,4.2065
1981-03-15,"surface",0,4.293
1981-03-15,"cline_top",6.5,4.2905
1981-03-15,"cline_bottom",70.5,4.0625
1981-03-15,"bottom",148.5,4.2045
1981-03-16,"surface",0,4.284
1981-03-16,"cline_top",1.5,4.2945
1981-03-16,"cline_bottom",75.5,4.078
1981-03-16,"bottom",148.5,4.2025
1981-03-17,"surface",0,4.252
1981-03-17,"cline_top",1.5,4.268
1981-03-17,"cline_bottom",80.5,4.0905
1981-03-17,"bottom",148.5,4.2005
1981-03-18,"surface",0,4.209
1981-03-18,"cline_top",1.5,4.22
1981-03-18,"cline_bottom",91.5,4.1025
1981-03-18,"bottom",148.5,4.196
1981-03-19,"surface",0,4.28
1981-03-19,"cline_top",5.5,4.2745
1981-03-19,"cline_bottom",82.5,4.1125
1981-03-19,"bottom",148.5,4.1845
1981-03-20,"surface",0,4.381
1981-03-20,"cline_top",1.5,4.3855
1981-03-20,"cline_bottom",71.5,4.1285
1981-03-20,"bottom",148.5,4.179
1981-03-21,"surface",0,4.525
1981-03-21,"cline_top",1.5,4.5235
1981-03-21,"cline_bottom",59.5,4.149
1981-03-21,"bottom",148.5,4.177
1981-03-22,"surface",0,4.624
1981-03-22,"cline_top",3.5,4.613
1981-03-22,"cline_bottom",59.5,4.153
1981-03-22,"bottom",148.5,4.175
1981-03-23,"surface",0,4.705
1981-03-23,"cline_top",4.5,4.661
1981-03-23,"cline_bottom",60.5,4.157
1981-03-23,"bottom",148.5,4.174
1981-03-24,"surface",0,4.785
1981-03-24,"cline_top",7.5,4.7235
1981-03-24,"cline_bottom",60.5,4.1655
1981-03-24,"bottom",148.5,4.173
1981-03-25,"surface",0,5.067
1981-03-25,"cline_top",3.5,4.994
1981-03-25,"cline_bottom",57.5,4.188
1981-03-25,"bottom",148.5,4.172
1981-03-26,"surface",0,5.183
1981-03-26,"cline_top",5.5,5.1145
1981-03-26,"cline_bottom",56.5,4.2055
1981-03-26,"bottom",148.5,4.1715
1981-03-27,"surface",0,5.248
1981-03-27,"cline_top",5.5,5.17
1981-03-27,"cline_bottom",58.5,4.211
1981-03-27,"bottom",148.5,4.1715
1981-03-28,"surface",0,5.42
1981-03-28,"cline_top",4.5,5.321
1981-03-28,"cline_bottom",57.5,4.23
1981-03-28,"bottom",148.5,4.171
1981-03-29,"surface",0,5.667
1981-03-29,"cline_top",1.5,5.641
1981-03-29,"cline_bottom",53.5,4.266
1981-03-29,"bottom",148.5,4.171
1981-03-30,"surface",0,5.755
1981-03-30,"cline_top",3.5,5.7125
1981-03-30,"cline_bottom",53.5,4.274
1981-03-30,"bottom",148.5,4.171
1981-03-31,"surface",0,5.71
1981-03-31,"cline_top",6.5,5.61
1981-03-31,"cline_bottom",55.5,4.2675
1981-03-31,"bottom",148.5,4.171
1981-04-01,"surface",0,5.815
1981-04-01,"cline_top",5.5,5.6785
1981-04-01,"cline_bottom",55.5,4.275
1981-04-01,"bottom",148.5,4.171
1981-04-02,"surface",0,5.927
1981-04-02,"cline_top",4.5,5.782
1981-04-02,"cline_bottom",55.5,4.281
1981-04-02,"bottom",148.5,4.171
1981-04-03,"surface",0,6.159
1981-04-03,"cline_top",2.5,6.0915
1981-04-03,"cline_bottom",52.5,4.3125
1981-04-03,"bottom",148.5,4.171
1981-04-04,"surface",0,6.343
1981-04-04,"cline_top",1.5,6.317
1981-04-04,"cline_bottom",50.5,4.3365
1981-04-04,"bottom",148.5,4.171
1981-04-05,"surface",0,6.344
1981-04-05,"cline_top",2.5,6.329
1981-04-05,"cline_bottom",50.5,4.3405
1981-04-05,"bottom",148.5,4.171
1981-04-06,"surface",0,6.389
1981-04-06,"cline_top",4.5,6.2365
1981-04-06,"cline_bottom",51.5,4.3335
1981-04-06,"bottom",148.5,4.1715
1981-04-07,"surface",0,6.81
