date,layer.name,layer.depth_m,layer.temp_c
3/12/81,cline_bottom,26.5,8.7715
3/12/81,bottom,45.5,8.6835
3/13/81,surface,1,8.693
3/13/81,cline_top,2.5,8.7045
3/13/81,cline_bottom,26.5,8.7715
3/13/81,bottom,45.5,8.6835
3/14/81,surface,1,8.693
3/14/81,cline_top,2.5,8.7045
3/14/81,cline_bottom,26.5,8.7715
3/14/81,bottom,45.5,8.6835
3/15/81,surface,1,8.693
3/15/81,cline_top,2.5,8.7045
3/15/81,cline_bottom,26.5,8.7715
3/15/81,bottom,45.5,8.6835
3/16/81,surface,1,8.693
3/16/81,cline_top,2.5,8.7045
3/16/81,cline_bottom,26.5,8.7715
3/16/81,bottom,45.5,8.6835
3/17/81,surface,1,8.693
3/17/81,cline_top,2.5,8.7045
3/17/81,cline_bottom,26.5,8.7715
3/17/81,bottom,45.5,8.6835
3/18/81,surface,1,8.693
3/18/81,cline_top,2.5,8.7045
3/18/81,cline_bottom,26.5,8.7715
3/18/81,bottom,45.5,8.6835
3/19/81,surface,1,8.693
3/19/81,cline_top,2.5,8.7045
3/19/81,cline_bottom,26.5,8.7715
3/19/81,bottom,45.5,8.6835
3/20/81,surface,1,8.693
3/20/81,cline_top,2.5,8.7045
3/20/81,cline_bottom,26.5,8.7715
3/20/81,bottom,45.5,8.6835
3/21/81,surface,1,8.693
3/21/81,cline_top,2.5,8.7045
3/21/81,cline_bottom,26.5,8.7715
3/21/81,bottom,45.5,8.6835
3/22/81,surface,1,8.693
3/22/81,cline_top,2.5,8.7045
3/22/81,cline_bottom,26.5,8.7715
3/22/81,bottom,45.5,8.6835
3/23/81,surface,1,8.693
3/23/81,cline_top,2.5,8.7045
3/23/81,cline_bottom,26.5,8.7715
3/23/81,bottom,45.5,8.6835
3/24/81,surface,1,8.693
3/24/81,cline_top,2.5,8.7045
3/24/81,cline_bottom,26.5,8.7715
3/24/81,bottom,45.5,8.6835
3/25/81,surface,1,8.693
3/25/81,cline_top,2.5,8.7045
3/25/81,cline_bottom,26.5,8.7715
3/25/81,bottom,45.5,8.6835
3/26/81,surface,1,8.693
3/26/81,cline_top,2.5,8.7045
3/26/81,cline_bottom,26.5,8.7715
3/26/81,bottom,45.5,8.6835
3/27/81,surface,1,8.693
3/27/81,cline_top,2.5,8.7045
3/27/81,cline_bottom,26.5,8.7715
3/27/81,bottom,45.5,8.6835
3/28/81,surface,1,8.693
3/28/81,cline_top,2.5,8.7045
3/28/81,cline_bottom,26.5,8.7715
3/28/81,bottom,45.5,8.6835
3/29/81,surface,1,8.693
3/29/81,cline_top,2.5,8.7045
3/29/81,cline_bottom,26.5,8.7715
3/29/81,bottom,45.5,8.6835
3/30/81,surface,1,8.693
3/30/81,cline_top,2.5,8.7045
3/30/81,cline_bottom,26.5,8.7715
3/30/81,bottom,45.5,8.6835
3/31/81,surface,1,8.693
3/31/81,cline_top,2.5,8.7045
3/31/81,cline_bottom,26.5,8.7715
3/31/81,bottom,45.5,8.6835
4/1/81,surface,1,8.693
4/1/81,cline_top,2.5,8.7045
4/1/81,cline_bottom,26.5,8.7715
4/1/81,bottom,45.5,8.6835
4/2/81,surface,1,8.693
4/2/81,cline_top,2.5,8.7045
4/2/81,cline_bottom,26.5,8.7715
4/2/81,bottom,45.5,8.6835
4/3/81,surface,1,8.693
4/3/81,cline_top,2.5,8.7045
4/3/81,cline_bottom,26.5,8.7715
4/3/81,bottom,45.5,8.6835
4/4/81,surface,1,8.693
4/4/81,cline_top,2.5,8.7045
4/4/81,cline_bottom,26.5,8.7715
4/4/81,bottom,45.5,8.6835
4/5/81,surface,1,8.693
4/5/81,cline_top,2.5,8.7045
4/5/81,cline_bottom,26.5,8.7715
4/5/81,bottom,45.5,8.6835
4/6/81,surface,1,8.693
4/6/81,cline_top,2.5,8.7045
4/6/81,cline_bottom,26.5,8.7715
4/6/81,bottom,45.5,8.6835
4/7/81,surface,1,8.693
4/7/81,cline_top,2.5,8.7045
4/7/81,cline_bottom,26.5,8.7715
4/7/81,bottom,45.5,8.6835
4/8/81,surface,1,8.693
4/8/81,cline_top,2.5,8.7045
4/8/81,cline_bottom,26.5,8.7715
4/8/81,bottom,45.5,8.6835
4/9/81,surface,1,8.693
4/9/81,cline_top,2.5,8.7045
4/9/81,cline_bottom,26.5,8.7715
4/9/81,bottom,45.5,8.6835
4/10/81,surface,1,8.693
